"Total Stitches Report","Period Starting",11/8/2021   4:00:00AM,"Period Ending",11/13/2021  12:00:00AM,"Mode","Production","Machine Serial No.","Total Stitches","412182",1295143,"Total Stitches",5971215,11/15/2021, 9:11:07AM,"Page -1 of 1"
"Total Stitches Report","Period Starting",11/8/2021   4:00:00AM,"Period Ending",11/13/2021  12:00:00AM,"Mode","Production","Machine Serial No.","Total Stitches","412109",832681,"Total Stitches",5971215,11/15/2021, 9:11:07AM,"Page -1 of 1"
"Total Stitches Report","Period Starting",11/8/2021   4:00:00AM,"Period Ending",11/13/2021  12:00:00AM,"Mode","Production","Machine Serial No.","Total Stitches","412176",1222535,"Total Stitches",5971215,11/15/2021, 9:11:07AM,"Page -1 of 1"
"Total Stitches Report","Period Starting",11/8/2021   4:00:00AM,"Period Ending",11/13/2021  12:00:00AM,"Mode","Production","Machine Serial No.","Total Stitches","411825",1349273,"Total Stitches",5971215,11/15/2021, 9:11:07AM,"Page -1 of 1"
"Total Stitches Report","Period Starting",11/8/2021   4:00:00AM,"Period Ending",11/13/2021  12:00:00AM,"Mode","Production","Machine Serial No.","Total Stitches","412191",103475,"Total Stitches",5971215,11/15/2021, 9:11:07AM,"Page -1 of 1"
"Total Stitches Report","Period Starting",11/8/2021   4:00:00AM,"Period Ending",11/13/2021  12:00:00AM,"Mode","Production","Machine Serial No.","Total Stitches","412206",1168108,"Total Stitches",5971215,11/15/2021, 9:11:07AM,"Page -1 of 1"
